school_code;school_name;grade;language;groups
2440030;1ο ΕΠΑΛ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;5
2440030;1ο ΕΠΑΛ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;8
2440030;1ο ΕΠΑΛ ΚΕΡΚΥΡΑΣ;Γ;Αγγλικά;7
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;3
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Γαλλικά;2
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Γερμανικά;2
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;4
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Γαλλικά;2
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Γερμανικά;3
2451010;1ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Γ;Αγγλικά;5
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;3
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Γαλλικά;2
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Γερμανικά;1
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;3
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Γαλλικά;2
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Γερμανικά;1
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Γ;Αγγλικά;4
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Γ;Γαλλικά;2
2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Γ;Γερμανικά;2
2440050;1ο ΗΜΕΡΗΣΙΟ ΕΠΑΛ ΚΑΤΩ ΚΟΡΑΚΙΑΝΑΣ;Α;Αγγλικά;1
2440050;1ο ΗΜΕΡΗΣΙΟ ΕΠΑΛ ΚΑΤΩ ΚΟΡΑΚΙΑΝΑΣ;Β;Αγγλικά;1
2440050;1ο ΗΜΕΡΗΣΙΟ ΕΠΑΛ ΚΑΤΩ ΚΟΡΑΚΙΑΝΑΣ;Γ;Αγγλικά;1
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;4
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Γαλλικά;2
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Γερμανικά;2
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;4
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Γαλλικά;2
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Γερμανικά;3
2451020;2ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Γ;Αγγλικά;5
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;4
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Γαλλικά;2
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Γερμανικά;2
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;4
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Γαλλικά;1
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Γερμανικά;3
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Γ;Αγγλικά;3
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Γ;Γαλλικά;1
2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Γ;Γερμανικά;2
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;4
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Γαλλικά;4
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Α;Γερμανικά;4
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;4
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Γαλλικά;3
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Β;Γερμανικά;3
2451030;3ο ΗΜΕΡΗΣΙΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΚΕΡΚΥΡΑΣ;Γ;Αγγλικά;5
2401030;3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Αγγλικά;3
2401030;3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Γαλλικά;2
2401030;3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Α;Γερμανικά;2
2401030;3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Β;Αγγλικά;3
