Έκδοση μητρώου;Αναγνωριστικό σχολείου;Κωδικός Υπουργείου;Ονομασία σχολείου;Είδος σχολείου;Διεύθυνση σχολείου;Α τμήματα;Β τμήματα;Γ τμήματα;Α Γαλλικά ομάδες;Α Γερμανικά ομάδες;Α Ιταλικά ομάδες;Β Γαλλικά ομάδες;Β Γερμανικά ομάδες;Β Ιταλικά ομάδες;Γ Γαλλικά ομάδες;Γ Γερμανικά ομάδες;Γ Ιταλικά ομάδες;Α τμήματα άνω 21;Β τμήματα άνω 21;Γ τμήματα άνω 21;Β ομάδες Ανθρωπιστικών;Β ομάδες Θετικών;Γ ομάδες Ανθρωπιστικών;Γ ομάδες Θετικών Υγείας;Γ ομάδες Οικονομίας Πληροφορικής;Γ Μαθηματικά 2ου πεδίου;Γ Βιολογία 3ου πεδίου;Γ Μαθηματικά Γενικής Παιδείας;Γ Ιστορία Γενικής Παιδείας;Α απαλλασσόμενοι;Α Ηθική εντός 5ης;Α τμήματα Ηθικής;Β απαλλασσόμενοι;Β Ηθική εντός 5ης;Β τμήματα Ηθικής;Γ απαλλασσόμενοι;Γ Ηθική εντός 5ης;Γ τμήματα Ηθικής;Σχολικό έτος;Χαρακτηρισμός 2026-27;Γυμνάσιο Α μαθητές;Γυμνάσιο Β μαθητές;Γυμνάσιο Γ μαθητές;Γυμνάσιο Δ μαθητές;Γυμνάσιο Δ τμήματα;Λύκειο Α μαθητές;Λύκειο Β μαθητές;Λύκειο Γ μαθητές;ΛΤ Α Γενικής;ΛΤ Β Γενικής;ΛΤ Γ Γενικής;ΛΤ Β Ανθρωπιστικών;ΛΤ Β Θετικών;ΛΤ Γ Ανθρωπιστικών;ΛΤ Γ Θετικών Υγείας;ΛΤ Γ Οικονομίας Πληροφορικής;Ολιγομελή εγκεκριμένα 2026-27;Πηγή τμημάτων;Κατάσταση πληρότητας;Εκκρεμή πεδία;Σημειώσεις
school_registry_v1;2401010;2401010;1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΡΙΖΟΣΠΑΣΤΩΝ ΒΟΥΛΕΥΤΩΝ ΙΟΝΙΟΥ ΒΟΥΛΗΣ 6, ΤΚ 49100;3;3;4;2;1;0;2;1;0;2;2;0;3;3;3;;;;;;;;;;;;;;;;;;;2026-2027;;81;72;89;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2401020;2401020;2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΖΑΜΠΕΛΗ 1, ΤΚ 49100;4;4;3;2;2;0;1;3;0;1;2;0;4;1;1;;;;;;;;;;;;;;;;;;;2026-2027;;88;75;52;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2401030;2401030;3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΤΕΡΜΑ ΚΟΛΟΚΟΤΡΩΝΗ, ΤΚ 49100;3;3;3;2;2;0;1;2;0;2;2;0;3;2;1;;;;;;;;;;;;;;;;;;;2026-2027;;69;69;63;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2401040;2401040;4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΚΟΛΟΚΟΤΡΩΝΗ ΤΕΡΜΑ, ΤΚ 49100;3;3;3;2;1;0;1;2;0;1;2;0;2;0;0;;;;;;;;;;;;;;;;;;;2026-2027;;61;55;51;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2401050;2401050;5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΡΙΖΟΣΠΑΣΤΩΝ ΒΟΥΛΕΥΤΩΝ ΙΟΝΙΟΥ ΒΟΥΛΗΣ 6, ΤΚ 49100;3;4;4;2;1;0;3;3;0;3;2;0;3;1;2;;;;;;;;;;;;;;;;;;;2026-2027;;71;81;84;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2401070;2401070;6ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΕΛΕΥΘ.ΒΕΝΙΖΕΛΟΥ 42, ΤΚ 49100;3;3;4;3;1;0;2;2;0;2;2;0;2;3;0;;;;;;;;;;;;;;;;;;;2026-2027;;70;71;76;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2401055;2401055;7ο ΠΕΙΡΑΜΑΤΙΚΟ ΓΥΜΝΑΣΙΟ ΚΕΡΚΥΡΑΣ;Ημερήσιο Γυμνάσιο;ΑΓΙΟΙ ΘΕΟΔΩΡΟΙ - ΚΕΡΚΥΡΑ, ΤΚ 49100;4;4;4;3;2;0;3;1;0;2;3;0;3;4;1;;;;;;;;;;;;;;;;;;;2026-2027;Πειραματικό από το σχολικό έτος 2026-2027;91;94;86;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;Ο κωδικός 2401055 είναι το 7ο Γυμνάσιο Κέρκυρας, που λειτουργεί ως Πειραματικό από 2026-2027.
school_registry_v1;2402090;2402090;ΓΥΜΝΑΣΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ;Ημερήσιο Γυμνάσιο;ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΚΕΡΚΥΡΑΣ, ΤΚ 49150;3;2;2;1;2;0;1;1;0;0;2;0;3;0;0;;;;;;;;;;;;;;;;;;;2026-2027;;69;31;29;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2406020;2406020;ΓΥΜΝΑΣΙΟ ΑΜΦΙΠΑΓΙΤΩΝ «ΑΝΔΡΕΑΣ ΚΑΛΒΟΣ»;Ημερήσιο Γυμνάσιο;ΠΕΡΟΥΛΑΔΕΣ, ΤΚ 49081;2;2;2;2;0;0;2;0;0;2;0;0;0;0;0;;;;;;;;;;;;;;;;;;;2026-2027;;32;25;23;;;;;;;;;;;;;;;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Πλήρες για αυτόματο υπολογισμό βασικών διδακτικών αναγκών;;
school_registry_v1;2405010;2405010;ΓΥΜΝΑΣΙΟ ΚΑΙ ΛΥΚΕΙΑΚΕΣ ΤΑΞΕΙΣ ΑΡΓΥΡΑΔΩΝ ΚΕΡΚΥΡΑΣ;Γυμνάσιο με Λυκειακές Τάξεις;ΑΡΓΥΡΑΔΕΣ, ΤΚ 49080;2;1;1;0;2;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;;;;;;;;;;;;;;2026-2027;;32;22;24;;;34;25;30;2;1;2;1;1;1;1;1;Γ Ανθρωπιστικών Σπουδών | Γ Θετικών Σπουδών και Σπουδών Υγείας;Απόφαση ΔΔΕ Κέρκυρας 3346/14-07-2026 (Γυμνάσια) + Απόφαση ΔΔΕ Κέρκυρας 3446/24-07-2026 (ΓΕΛ/ΛΤ) + μεταγενέστερες εγκρίσεις ολιγομελών + myschool stat3_1 05-09-2026 (τρέχοντα βασικά τμήματα/μαθητές) + myschool stat3_10 06-09-2026 (ομάδες ξένων γλωσσών);Δομικά στοιχεία καταχωρισμένα · τύπος προσωρινά ανενεργός στο εργαλείο;;Τα γενικά Α/Β/Γ του βασικού schema κρατούν το γυμνασιακό σκέλος· τα στοιχεία Λυκειακών Τάξεων διατηρούνται στις πρόσθετες στήλες ΛΤ.
