file,id,type,inputmode,min,max,step,label
dikaiologitika-tekna-anapiria.php,disabilityPercent,number,,0,100,1,Ποσοστό αναπηρίας (%)
dikaioma-symmetoxis.php,birthYear,number,,1900,2026,,Έτος γέννησης υποψηφίου/ας
metatropi-klimakas.php,decimalGrade,text,decimal,,,,Βαθμός σε 10βάθμια κλίμακα
odigos-enstasis.php,paravoloCode,text,numeric,,,,4 Έλεγχος μορφής κωδικού e-Παραβόλου
ypologismos-morion-1ea-2025.php,degreeGrade,number,decimal,10,20,0.01,"Βαθμός τίτλου σε 20βάθμια κλίμακα Αν ο τίτλος έχει διαφορετική κλίμακα, απαιτείται προηγουμένως αναγωγή στην 20βάθμια."
ypologismos-morion-1ea-2025.php,regularMonths,number,,0,120,1,Κανονική δημόσια προϋπηρεσία 1 μόριο/μήνα · έως 120 μήνες.
ypologismos-morion-1ea-2025.php,difficultMonths,number,,0,60,1,Δυσπρόσιτα / καταστήματα κράτησης από 2020–21 2 μόρια/μήνα · έως 60 μήνες.
ypologismos-morion-1gt-2024.php,regularMonths,number,,0,120,1,Λοιπή αναγνωρισμένη εκπαιδευτική προϋπηρεσία 1 μόριο ανά μήνα · έως 120 μήνες. Εδώ μπορεί να συμπεριληφθεί και αναγνωρισμένη ιδιωτική προϋπηρεσία που πληροί τις προϋποθέσεις της προκήρυξης.
ypologismos-morion-1gt-2024.php,difficultMonths,number,,0,60,1,Δυσπρόσιτα / σχολικές μονάδες σε καταστήματα κράτησης Από το σχολικό έτος 2020–2021 και μετά · 2 μόρια ανά μήνα · έως 60 μήνες.
ypologismos-morion-2ea-2025.php,degreeGrade,number,decimal,5,10,0.01,"Βαθμός βασικού πτυχίου (5–10) Βαθμός × 2,5 · ανώτατο 25. Αν η κλίμακα είναι διαφορετική, γίνεται αναγωγή στην 10βάθμια."
ypologismos-morion-2ea-2025.php,regularMonths,number,,0,120,1,Κανονική δημόσια προϋπηρεσία 1 μόριο/μήνα · έως 120 μήνες.
ypologismos-morion-2ea-2025.php,difficultMonths,number,,0,60,1,Δυσπρόσιτα / καταστήματα κράτησης από 2020–21 2 μόρια/μήνα · έως 60 μήνες.
ypologismos-morion-3ea-2025.php,eaeMonths,number,numeric,0,480,1,Αναγνωρισμένοι μήνες προϋπηρεσίας ειδικά στην Ε.Α.Ε. Μόνο για έλεγχο του ορίου των 10 μηνών του επικουρικού· δεν προστίθενται δεύτερη φορά στα μόρια.
ypologismos-morion-3ea-2025.php,degreeGrade,number,,5,10,0.01,"Βαθμός βασικού πτυχίου (5–10) Βαθμός × 2,5 · ανώτατο 25."
ypologismos-morion-3ea-2025.php,regularMonths,number,numeric,0,120,1,Κανονική δημόσια προϋπηρεσία 1 μόριο ανά μήνα · έως 120 μήνες.
ypologismos-morion-3ea-2025.php,difficultMonths,number,numeric,0,60,1,Δυσπρόσιτα / καταστήματα κράτησης από 2020–21 2 μόρια ανά μήνα · έως 60 μήνες.
ypologismos-morion-3ea-2025.php,privateMonths,number,numeric,0,480,1,"Ιδιωτική εκπαιδευτική προϋπηρεσία 0,9 μόρια ανά μήνα, εφόσον πληρούνται οι νόμιμες προϋποθέσεις."
ypologismos-morion-4ea-2025.php,eaeMonths,number,,0,480,1,Μήνες προϋπηρεσίας στην Ε.Α.Ε. Για το κριτήριο του Επικουρικού απαιτούνται τουλάχιστον 10 μήνες.
ypologismos-morion-4ea-2025.php,regularMonths,number,,0,120,1,Μήνες δημόσιας εκπαιδευτικής προϋπηρεσίας 1 μόριο ανά μήνα πραγματικής εκπαιδευτικής προϋπηρεσίας · έως 120 μήνες.
